classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
141,AMIR,,,,RÉTINE,WARNER / PARLOPHONE (FRANCE),2022,1,,,,,2021-10-01,,
142,QUEEN,,,,BOHEMIAN RHAPSODY,VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC,2022,1,,,,,,,
143,EARTH,WIND,FIRE,,SEPTEMBER,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,,,,,,,
144,LA ZARRA,,,,TU T’EN IRAS,POLYDOR,2022,1,Banx & Ranx,Soke,La Zarra,Benny Adam,2021-06-11,,
145,TRAVIS SCOTT,HVME,,,GOOSEBUMPS,SONY MUSIC ENTERTAINMENT / B1/EPIC,2022,1,Cardo Got Wings,CuBeatz,Travis Scott,Kendrick Lamar,2016-09-02,sample,Don’t Tell Me - PARTYNEXTDOOR
146,PLK,,,,A LA BASE,PANENKA MUSIC,2022,1,Mehsah,,PLK,,2021-10-15,,
147,NISKA,,,,140G,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,GA,,1PLIKÉ140,Niska,2021-11-05,,
148,NISKA,,,,BLUE MAGIC,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,P.Prod,Guapo du Soleil,Maes,Niska,2021-11-05,,
149,TIËSTO,AVA MAX,,,THE MOTTO,WARNER / ATLANTIC RECORDS,2022,1,LOSTBOY,Tiësto,Claudia Valentina,Tiësto,2021-11-04,sample,4 RANO - Zeamsone
150,ORELSAN,,,,BÉBÉBOA,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2022,1,Eddie Purple,OrelSan,OrelSan,,2021-11-19,,
151,IMAGINE DRAGONS,,,,FOLLOW YOU,POLYDOR / INTERSCOPE RECORDS,2022,1,Joel Little,,Dan Reynolds,Wayne Sermon,2021-03-12,,
